NAME,STREET,STATE,ZIP,PHONE,lat,long
1,"Los Angeles, CA 90044",,,(321) 111-2222,33,-118
2,"12345 Something BlvdLos Angeles, CA 12345",,,(321) 111-2222,33,-118
3,"12345 Something BlvdLos Angeles, CA 12346",,,(321) 111-2222,33,-118
4,"12345 Something BlvdLos Angeles, CA 12347",,,(321) 111-2222,33,-118
5,"12345 Something BlvdLos Angeles, CA 12348",,,(321) 111-2222,33,-118
6,"12345 Something BlvdLos Angeles, CA 12349",,,(321) 111-2222,33,-118
7,"12345 Something BlvdLos Angeles, CA 12350",,,(321) 111-2222,33,-118
8,"12345 Something BlvdLos Angeles, CA 12351",,,(321) 111-2222,33,-118
9,"12345 Something BlvdLos Angeles, CA 12352",,,(321) 111-2222,33,-118
10,"12345 Something BlvdLos Angeles, CA 12353",,,(321) 111-2222,33,-118
11,"12345 Something BlvdLos Angeles, CA 12354",,,(321) 111-2222,33,-118
12,"12345 Something BlvdLos Angeles, CA 12355",,,(321) 111-2222,33,-118
13,"12345 Something BlvdLos Angeles, CA 12356",,,(321) 111-2222,33,-118
14,"12345 Something BlvdLos Angeles, CA 12357",,,(321) 111-2222,33,-118
16,"12345 Something BlvdLos Angeles, CA 12358",,,(321) 111-2222,33,-118
16,"12345 Something BlvdLos Angeles, CA 12359",,,(321) 111-2222,33,-118
17,"12345 Something BlvdLos Angeles, CA 12360",,,(321) 111-2222,33,-118
18,"12345 Something BlvdLos Angeles, CA 12361",,,(321) 111-2222,33,-118
19,"12345 Something BlvdLos Angeles, CA 12362",,,(321) 111-2222,33,-118
20,"12345 Something BlvdLos Angeles, CA 12363",,,(321) 111-2222,33,-118
21,"12345 Something BlvdLos Angeles, CA 12364",,,(321) 111-2222,33,-118
22,"12345 Something BlvdLos Angeles, CA 12365",,,(321) 111-2222,33,-118
23,"12345 Something BlvdLos Angeles, CA 12366",,,(321) 111-2222,33,-118
22,"12345 Something BlvdLos Angeles, CA 12367",,,(321) 111-2222,33,-118
22,"12345 Something BlvdLos Angeles, CA 12368",,,(321) 111-2222,33,-118
22,"12345 Something BlvdLos Angeles, CA 12369",,,(321) 111-2222,33,-118
